year_month,channel,platform_id,is_mobile,active_users,row_events,weighted_events,bookings,booking_row_rate,booking_weighted_event_rate,booking_value_proxy_total,booking_value_proxy_per_active_user,package_booking_share,avg_valid_lead_days,avg_valid_stay_nights
2014-07-01,9,3,0,130418,892817,1250213,71437,0.08001303738616088,0.05789493470312659,78560,0.6023708383812051,0.0997102341923653,43.789897156684816,3.1140066979990433
2014-07-01,0,3,0,37201,194809,280588,13778,0.07072568515828324,0.049659999714884454,15177,0.4079729039541948,0.10153868485992161,46.31758148614286,3.0723953626481446
2014-07-01,3,9,1,132,527,718,21,0.03984819734345351,0.02924791086350975,21,0.1590909090909091,0.0,91.67238095238095,4.537142857142857
2014-07-01,9,35,0,10379,74014,105987,6276,0.08479476855729998,0.059733740930491476,6747,0.6500626264572695,0.07504780114722753,42.06164781557006,2.8524510202422566
2014-07-01,5,12,0,2059,25709,39075,2184,0.08495079544128516,0.058937939859245045,2366,1.1491015055852356,0.08333333333333333,71.2613972304341,3.487457574220731
2014-07-01,3,3,0,15039,76110,108827,4579,0.06016292208645382,0.04322456743271431,4922,0.3272823990956846,0.07490718497488534,49.46660183712893,3.2525752120180957
2014-07-01,3,35,0,538,2500,3513,278,0.1112,0.08055792769712497,281,0.5223048327137546,0.01079136690647482,40.8996,2.798
2014-07-01,2,24,1,112,400,556,12,0.03,0.023381294964028777,15,0.13392857142857142,0.25,33.3,4.25
2014-07-01,0,24,0,1169,6851,10776,255,0.03722084367245657,0.023849294729027467,364,0.31137724550898205,0.42745098039215684,40.876260043827614,4.827840993054529
2014-07-01,9,12,0,12596,80777,114611,5983,0.07406811344813499,0.05272617811553865,6621,0.5256430612892982,0.10663546715694468,50.49932513590153,3.2642102646949174
2014-07-01,9,9,0,2696,21001,29077,1092,0.051997523927432024,0.03779619630635898,1235,0.4580860534124629,0.13095238095238096,85.62015836672391,4.392426273458445
2014-07-01,3,12,0,1886,9841,13928,653,0.0663550452189818,0.04810453762205629,670,0.3552492046659597,0.026033690658499236,50.797052845528455,3.2467929138668294
2014-07-01,1,24,0,1332,8552,12690,293,0.03426099158091674,0.023167848699763592,400,0.3003003003003003,0.3651877133105802,44.07571679344646,4.932736482506773
