date_key,active_users,row_events,weighted_events,bookings,bookers,booking_row_rate,booking_weighted_event_rate,booker_rate,booking_value_proxy_total,booking_value_proxy_per_active_user,avg_booking_value_proxy_per_booking,mobile_row_share,mobile_booking_share,package_booking_share,avg_valid_lead_days,avg_valid_stay_nights,avg_distance_filled,distance_imputed_share
2014-08-14,24253,92759,133086,7017,6000,0.075647646050518,0.053611950167560825,0.24739207520719086,7789,0.32115614563146827,1.1100185264357987,0.1340247307538891,0.09562491093059712,0.11001852643579878,49.17509303705302,3.222187334206737,1950.1231457003003,0.13093069136148514
2014-08-16,16797,69725,100936,4739,4004,0.06796701326640373,0.04762423714036617,0.2383759004584152,5297,0.3153539322498065,1.1177463599915594,0.19677303693079956,0.1487655623549272,0.1177463599915594,57.51221892175011,3.3594966268811626,2083.885521741009,0.12737181785586232
2014-08-18,26381,101770,146257,7558,6446,0.0742655006386951,0.05241458528480688,0.24434251923732989,8475,0.32125393275463404,1.1213283937549616,0.12527267367593595,0.09036782217517862,0.12132839375496163,52.33320221072714,3.297510541439956,1974.639946407481,0.12545936916576594
2014-03-31,17012,62760,89104,5247,4500,0.08360420650095603,0.05962695277428623,0.2645191629438044,5933,0.3487538208323536,1.130741376024395,0.11555130656469088,0.0750905279207166,0.1307413760243949,56.8259649122807,3.301431427429028,2012.1567525043874,0.13339706819630337
2014-04-01,16991,61927,88331,5333,4552,0.08611752547354143,0.061371432452932716,0.2679065387558119,6049,0.35601200635630625,1.1342583911494468,0.11219661859931855,0.07987999249953122,0.13425839114944685,55.86879787956169,3.322509033753018,1988.9429499840483,0.1289098454632067
2014-04-03,16343,60694,86636,5161,4398,0.08503311694730946,0.06056373793803961,0.2691060392828734,5794,0.3545248730343266,1.1226506490990118,0.11966586483013147,0.0825421429955435,0.12265064909901181,55.03282932379178,3.26592175077274,2041.8129728582353,0.12419679045704682
2014-04-04,15543,56058,80993,4825,4115,0.08607156873238432,0.0607459903942316,0.26474940487679344,5406,0.34780930322331594,1.1204145077720207,0.12677940704270577,0.0833160621761658,0.12041450777202073,55.09969648277093,3.2558572425766497,1997.7045813059412,0.1294016911056406
2014-04-05,11715,46833,67912,3566,2979,0.07614289069673094,0.05327482624572977,0.25428937259923173,4072,0.34758856167306873,1.1418956814357824,0.16176627591655457,0.11441390914189568,0.14189568143578238,62.18739181536489,3.364476364026155,2117.2645974826573,0.13791557235282814
2014-04-06,13785,58106,83359,4241,3510,0.07298729907410595,0.05148814165237107,0.2546245919477693,4810,0.34892999637286903,1.1341664701721292,0.16562833442329536,0.12284838481490215,0.1341664701721292,63.643637366045276,3.365599571549505,2231.5301402624773,0.1294874883832995
2013-08-30,8435,28861,41341,2930,2548,0.10152108381552961,0.07162381171234368,0.3020746887966805,3358,0.3981031416716064,1.146075085324232,0.1346800180173937,0.0962457337883959,0.14607508532423208,46.148620031244576,3.1915004880769766,1939.159051545466,0.12237968192370327
