year_month,user_country,hotel_country,active_users,row_events,weighted_events,bookings,booking_row_rate,booking_value_proxy_total,avg_distance_filled,package_booking_share,avg_valid_stay_nights,avg_valid_lead_days
2014-08-01,66,50,164296,1012592,1401681,88945,0.08783893216616366,96758,805.7844905614403,0.08784080049468773,2.476429020644848,36.30347398856497
2014-08-01,205,128,384,1080,2023,30,0.027777777777777776,46,1722.412570185186,0.5333333333333333,5.565504241281809,81.28359592215014
2014-08-01,77,63,2829,17147,24030,1190,0.06939989502536886,1351,725.7658091150437,0.13529411764705881,2.989222749370351,53.5527990193217
2014-08-01,66,70,3683,21867,31382,1424,0.06512095852197375,1563,4317.947235167347,0.0976123595505618,3.773453277033229,69.50862108392408
2014-08-01,205,50,17252,104401,158712,6598,0.06319862836562869,7902,1289.8264816075218,0.1976356471658078,3.531627665306751,55.58204135604914
2014-08-01,182,93,28,159,202,13,0.08176100628930817,13,1961.0571025157233,0.0,2.7547169811320753,32.44654088050314
2014-08-01,205,198,15184,78881,107376,8615,0.10921514686679935,8960,480.4902015297543,0.04004643064422519,1.9212341382244973,20.758983993196157
2014-08-01,66,198,7429,37927,53316,3217,0.0848208400348037,3472,854.7903745628927,0.07926639726453218,2.3555214967100917,34.37882104707899
2014-08-01,77,50,1778,13185,17049,679,0.05149791429654911,698,7866.660623345248,0.027982326951399118,4.685686065947424,112.7399453634846
2014-08-01,215,8,2190,12331,18027,1102,0.08936825885978428,1204,429.46795582880003,0.0925589836660617,3.0039947823251265,33.439278166151844
2014-08-01,66,22,750,5334,7336,287,0.05380577427821522,310,5789.680433533489,0.08013937282229965,4.072665662650603,54.84093040705309
2014-08-01,1,77,1274,6577,10038,272,0.04135624144746845,373,854.4267191883924,0.3713235294117647,5.102746066029003,32.6357001672495
2014-08-01,205,124,91,454,623,39,0.08590308370044053,42,6178.139437555551,0.07692307692307693,4.438325991189427,117.7466960352423
2014-08-01,66,96,1640,5131,8615,135,0.026310660689923993,216,2162.305512258639,0.6,5.529317590554332,108.05420159875219
2014-08-01,66,31,768,4692,6631,362,0.07715260017050299,388,3953.10205979096,0.0718232044198895,3.2716181506849313,77.08678038379531
2014-08-01,205,208,239,1449,1966,88,0.06073153899240856,91,5190.053786772853,0.03409090909090909,3.5867311679336558,52.24309392265194
2014-08-01,66,163,5401,29071,51072,660,0.02270303739121461,1109,1841.8998674000043,0.6803030303030303,5.439469377807179,95.85520159625705
2014-08-01,66,182,1304,8659,12120,430,0.04965931400854602,466,8519.225784122471,0.08372093023255814,4.5714782205746065,83.51207115628971
2014-08-01,46,50,1839,15011,20858,969,0.06455266138165346,1078,4863.9450510990955,0.11248710010319918,4.534615642383218,92.08409969345595
2014-08-01,1,105,2552,16508,21595,1076,0.06518051853646717,1128,256.8956432741832,0.048327137546468404,3.233961117861482,16.226217183047353
2014-08-01,66,47,3136,14283,24549,327,0.02289434992648603,553,1678.273198637191,0.691131498470948,5.21982727856684,102.5401638770222
2014-08-01,66,204,3627,23097,32758,1220,0.05282071264666407,1325,4589.860514255709,0.0860655737704918,3.9418771464591575,77.07566045907319
2014-08-01,205,70,1043,6701,9448,446,0.06655723026413968,471,3785.712569272701,0.05605381165919283,3.8515473164897593,65.14110795878752
2014-08-01,66,5,568,3590,4912,101,0.028133704735376044,108,9337.506443721782,0.06930693069306931,4.629660779366414,93.89136490250696
2014-08-01,66,93,532,2493,3422,237,0.0950661853188929,251,3836.72258438632,0.05907172995780591,3.388731252533441,76.66746891295628
2014-08-01,46,198,102,486,643,59,0.12139917695473251,61,4254.311076873662,0.03389830508474576,2.6213991769547325,58.117283950617285
2014-08-01,205,47,404,1473,2497,46,0.031228784792939578,77,2169.386362927502,0.6739130434782609,6.863856254319281,105.1785471826205
2014-08-01,66,32,1166,3399,5698,81,0.02383053839364519,105,2071.895072423436,0.2962962962962963,5.093674698795181,103.42541924095322
2014-08-01,205,107,126,686,1061,47,0.06851311953352769,50,4372.977865306121,0.06382978723404255,3.619533527696793,61.22594752186589
2014-08-01,182,50,584,4105,5628,271,0.06601705237515225,290,5016.22140220787,0.07011070110701106,5.28871007071446,75.67551766138855
2014-08-01,66,130,386,2279,3061,183,0.08029837648091268,194,7058.26896695363,0.060109289617486336,3.7259552042160737,63.34620447564721
2014-08-01,77,31,51,242,308,24,0.09917355371900827,24,10162.271339166673,0.0,2.0950413223140494,125.58677685950413
2014-08-01,66,208,1088,7536,10737,431,0.05719214437367304,456,5910.794521497905,0.058004640371229696,3.6864994663820703,66.51739245884227
2014-08-01,77,204,326,2045,2475,107,0.05232273838630807,109,10128.142023739569,0.018691588785046728,3.7567302985805187,120.77788649706459
2014-08-01,63,144,110,597,807,72,0.12060301507537688,88,283.399081441441,0.2222222222222222,2.129194630872483,40.48489932885906
2014-08-01,205,204,935,6188,8872,363,0.05866192630898513,386,4025.839447008432,0.06336088154269973,4.1103179753406875,68.29776915615906
2014-08-01,63,105,149,727,1014,56,0.07702888583218707,65,328.21996710719515,0.16071428571428573,2.973463687150838,24.580467675378266
2014-08-01,1,144,498,2262,3497,156,0.06896551724137931,202,686.9302675225226,0.2948717948717949,3.0778871978513878,36.25796460176991
2014-08-01,46,22,325,1765,2711,87,0.04929178470254957,122,1237.2359218463275,0.40229885057471265,4.732,59.66345609065156
2014-08-01,66,135,373,1903,2680,161,0.08460325801366264,167,4606.337367885336,0.037267080745341616,2.9095213045765385,72.23751970572779
2014-08-01,66,128,2780,8368,14609,206,0.024617590822179732,332,1251.2277546611626,0.6116504854368932,4.539313534566699,89.06345602294455
2014-08-01,205,5,138,881,1265,24,0.02724177071509648,29,9015.697002553927,0.20833333333333334,5.8754285714285714,96.22474460839955
2014-08-01,66,124,442,2264,3158,164,0.07243816254416961,185,5507.733358118899,0.12804878048780488,4.622399291722001,85.75441696113074
2014-08-01,66,17,224,981,1393,75,0.0764525993883792,85,5137.280544295992,0.13333333333333333,5.134969325153374,53.149847094801224
2014-08-01,77,5,867,5830,8457,195,0.03344768439108062,270,2510.0121694082245,0.38461538461538464,6.60377358490566,92.42670786131136
2014-08-01,69,77,2789,14496,23244,605,0.04173565121412803,902,3600.67449393449,0.4909090909090909,4.9929291514981795,55.90037970314118
2014-08-01,69,21,245,1000,1503,117,0.117,144,3536.5030920948625,0.23076923076923078,3.1957618567103934,49.30391173520562
2014-08-01,32,107,11,40,55,3,0.075,4,4353.346400000001,0.3333333333333333,5.7,35.43589743589744
2014-08-01,66,174,545,1330,2045,49,0.03684210526315789,76,2026.4584333834596,0.5510204081632653,5.198630136986301,101.17368421052632
2014-08-01,205,32,37,110,194,4,0.03636363636363636,5,2419.785300909092,0.25,5.627272727272727,107.77272727272727
2014-08-01,235,204,60,424,545,16,0.03773584905660377,17,4500.654089112894,0.0625,4.3584905660377355,30.785377358490567
2014-08-01,46,31,88,420,575,30,0.07142857142857142,35,734.157354653938,0.16666666666666666,2.949760765550239,62.66904761904762
2014-08-01,205,96,143,332,650,7,0.02108433734939759,11,2567.627473644579,0.5714285714285714,7.02416918429003,96.41566265060241
2014-08-01,69,105,1974,11235,17061,540,0.04806408544726302,760,4043.7066783327155,0.4074074074074074,3.8977681785457166,64.13722172751558
2014-08-01,66,104,651,3232,4399,254,0.07858910891089109,263,8059.806222115994,0.03543307086614173,3.3801986343885786,72.85541795665635
2014-08-01,46,204,596,3082,4379,232,0.07527579493835172,266,384.7872134506814,0.14655172413793102,3.0032637075718016,41.74050016239039
2014-08-01,68,208,105,530,757,23,0.04339622641509434,27,4046.6916584291225,0.17391304347826086,5.426944971537002,26.932075471698113
2014-08-01,68,50,565,4054,5828,220,0.05426739023186976,270,2604.882082702328,0.22727272727272727,4.609840954274354,87.15078973346496
2014-08-01,198,48,308,1409,1843,116,0.0823278921220724,118,8129.706483333323,0.017241379310344827,3.1363636363636362,12.90625
2014-08-01,62,50,265,2094,2973,88,0.04202483285577841,109,1815.6546771516414,0.23863636363636365,5.011488750598373,92.13371537726839
2014-08-01,68,31,15,57,75,4,0.07017543859649122,4,1916.721994117647,0.0,3.232142857142857,45.36842105263158
2014-08-01,69,152,149,713,1181,9,0.012622720897615708,12,7773.552955133921,0.3333333333333333,7.4822695035460995,130.9172510518934
2014-08-01,69,68,742,3099,4529,252,0.08131655372700872,334,3673.26678110505,0.3253968253968254,2.6402081977878984,52.32214331826985
2014-08-01,215,196,36,159,210,15,0.09433962264150944,16,4784.265490434778,0.06666666666666667,2.8037974683544302,57.35849056603774
2014-08-01,69,169,253,1061,1605,67,0.06314797360980208,96,3598.195668181816,0.43283582089552236,3.443702290076336,61.20679886685552
2014-08-01,1,196,38,244,390,8,0.03278688524590164,9,5529.17809885845,0.125,6.7407407407407405,104.70901639344262
2014-08-01,69,48,863,3905,6673,131,0.03354673495518566,181,6489.379332038297,0.3816793893129771,5.700826019617966,81.14497950819673
2014-08-01,69,12,170,734,1180,35,0.047683923705722074,55,2392.6557345744673,0.5714285714285714,3.5367545076282942,97.06539509536785
2014-08-01,0,171,77,341,503,15,0.04398826979472141,17,4899.897325,0.13333333333333333,3.096774193548387,38.81818181818182
2014-08-01,69,99,154,739,1083,89,0.12043301759133965,92,6731.590662121208,0.033707865168539325,4.7428958051420835,50.84709066305819
2014-08-01,55,105,145,913,1304,55,0.060240963855421686,62,1957.463355535712,0.12727272727272726,3.6401766004415013,32.51807228915663
2014-08-01,70,168,179,908,1446,40,0.04405286343612335,57,,0.425,2.384105960264901,70.3546255506608
2014-08-01,23,70,58,506,697,32,0.06324110671936758,32,,0.0,3.1403162055335967,51.56521739130435
2014-08-01,3,50,3344,25626,37685,1472,0.05744166081323656,1604,2493.76735,0.08967391304347826,3.611250293588037,71.2909375
2014-08-01,11,70,8,41,62,3,0.07317073170731707,5,,0.6666666666666666,4.804878048780488,80.51219512195122
2014-08-01,217,50,43,358,481,21,0.05865921787709497,21,,0.0,3.2094972067039107,73.66480446927375
2014-08-01,119,170,5,19,22,5,0.2631578947368421,5,,0.0,2.1578947368421053,38.10526315789474
2014-08-01,3,168,807,4981,7821,212,0.0425617345914475,254,8813.505650000001,0.19811320754716982,2.6754686555130016,61.53345388788427
2014-08-01,3,208,66,654,936,42,0.06422018348623854,45,,0.07142857142857142,2.0750382848392035,42.2802450229709
2014-08-01,70,182,879,6831,9414,405,0.05928853754940711,484,,0.19506172839506172,2.4087569791360566,42.52692589875275
2014-08-01,48,182,43,279,385,22,0.07885304659498207,23,5321.562057575757,0.045454545454545456,4.318840579710145,57.16129032258065
2014-08-01,119,63,61,555,972,27,0.04864864864864865,29,,0.07407407407407407,3.184448462929476,79.10990990990992
2014-08-01,154,50,403,3127,4373,200,0.06395906619763352,216,1115.53318440537,0.08,3.9881334188582427,63.16661336744483
2014-08-01,195,5,119,1003,1364,26,0.0259222333000997,30,5957.493029850744,0.15384615384615385,6.002,92.82253240279162
2014-08-01,119,130,525,3720,6238,136,0.03655913978494624,209,,0.5367647058823529,2.878248974008208,45.62953995157385
2014-08-01,214,22,19,131,177,9,0.06870229007633588,13,,0.4444444444444444,6.1,32.33587786259542
2014-08-01,195,204,78,474,572,42,0.08860759493670886,42,4126.279207142855,0.0,2.7130801687763713,83.0506329113924
2014-08-01,3,182,2003,19152,28265,779,0.040674603174603176,894,,0.14762516046213095,3.3625786163522013,55.51711344515859
2014-08-01,167,151,577,3304,4790,210,0.0635593220338983,255,,0.21428571428571427,2.0741415982983895,34.50908540278619
2014-08-01,52,77,138,629,970,25,0.0397456279809221,39,639.9627,0.56,5.619808306709265,59.72496025437202
2014-08-01,3,88,386,1461,2580,58,0.03969883641341547,79,,0.3620689655172414,3.4189473684210525,81.41809458533243
2014-08-01,93,70,48,235,355,15,0.06382978723404255,17,,0.13333333333333333,3.6965811965811968,46.22127659574468
2014-08-01,119,50,198,1479,2128,113,0.07640297498309669,121,488.0972,0.07079646017699115,3.1471186440677967,46.058147396889794
2014-08-01,195,182,114,682,858,28,0.04105571847507331,32,5717.673437288135,0.14285714285714285,5.224340175953079,77.47507331378299
2014-08-01,12,68,29,144,184,13,0.09027777777777778,14,,0.07692307692307693,3.769230769230769,43.354166666666664
2014-08-01,3,104,130,1064,1497,69,0.06484962406015038,70,,0.014492753623188406,2.4426691729323307,60.47075471698113
2014-08-01,82,70,18,64,69,3,0.046875,3,,0.0,3.193548387096774,85.46875
2014-08-01,195,63,512,3131,4160,188,0.060044714148834236,208,5718.493714939027,0.10638297872340426,4.229093239346363,76.47746883988495
2014-08-01,80,144,40,159,233,16,0.10062893081761007,17,,0.0625,3.8152866242038215,38.861635220125784
2014-08-01,3,204,805,8437,11585,385,0.04563233376792699,398,5635.031300000001,0.033766233766233764,3.20014245014245,59.48938441466018
2014-08-01,194,68,13,70,88,6,0.08571428571428572,6,,0.0,4.285714285714286,62.58571428571429
