date_key,active_users,sessions,booking_sessions,session_booking_rate,sessions_per_user,avg_rows_per_session,avg_weighted_events_per_session,median_session_duration_seconds,avg_time_to_first_booking_seconds,multi_destination_session_share,booking_value_proxy_total,booking_value_proxy_per_session
2014-04-04,15505,19146,4263,0.22265747414603573,1.234827475008062,2.924892928026742,4.2259479786900656,143.0,670.8796622097115,0.1367909746161078,5402,0.28214770709286535
2013-03-24,8291,10390,2322,0.22348411934552453,1.2531660837052225,3.2473532242540903,5.761308950914341,182.0,733.7975882859604,0.1695861405197305,3085,0.29692011549566893
2014-08-14,24176,30090,6236,0.2072449318710535,1.2446227663798808,3.0770687936191425,4.4181123296776335,158.0,743.7184092366901,0.1327351279494849,7784,0.2586905948820206
2013-05-02,8701,10611,2678,0.2523796060691735,1.2195149982760602,2.9233813966638396,4.989162190180002,139.0,593.5840179238237,0.1413627367825841,3480,0.3279615493355951
2013-06-13,9297,11400,2873,0.25201754385964914,1.2262020006453695,2.9917543859649123,5.129473684210526,142.0,633.3094326487992,0.14140350877192984,3783,0.3318421052631579
2014-10-10,21954,27284,5840,0.21404486145726434,1.242780358932313,3.071580413429116,4.295301275472805,156.0,736.967294520548,0.1293798563260519,7248,0.26565019791819383
2014-11-01,16229,20170,4056,0.20109072880515616,1.2428368969129335,3.356965790778384,4.713138324243927,206.0,817.5742110453649,0.1553296975706495,5170,0.25632126921170056
2014-11-04,26573,32884,6761,0.20560150833231966,1.2374967071839837,3.0798868750760247,4.271013258727649,159.0,698.684366218015,0.1331650650772412,8461,0.25729838219194745
2014-07-02,23705,29566,6023,0.2037137252249205,1.247247416156929,3.1193600757627005,4.463809781505784,160.0,752.6363938236759,0.13552729486572415,7537,0.25492119326253126
2013-11-14,8142,9866,2515,0.25491587269410093,1.2117415868337018,2.831035880802757,4.1017636326778835,146.0,659.5598409542744,0.12750861544698966,3278,0.3322521792012974
2014-08-26,26796,33482,6358,0.189893076877128,1.2495148529631288,3.012185651992115,4.336449435517592,145.0,731.1574394463668,0.12675467415327638,8078,0.24126396272624095
2014-09-09,27778,34573,6764,0.19564399965290835,1.2446180430556555,3.0107309171897145,4.285540739883724,148.0,723.0598758131283,0.13053538888728197,8669,0.2507448008561594
2014-02-23,9728,11955,2539,0.2123797574236721,1.2289268092105263,3.2733584274362193,4.924717691342535,194.0,794.1614808979913,0.1606022584692597,3458,0.2892513592639063
2013-11-16,5800,6916,1690,0.24436090225563908,1.1924137931034482,3.173076923076923,4.606998264893002,182.0,775.7402366863905,0.15066512434933488,2246,0.3247541931752458
2014-11-13,24039,29511,6007,0.20355121818982752,1.2276301010857358,3.087492799295178,4.351258852631222,161.0,738.394539703679,0.12229338212869777,7390,0.25041509945444074
